"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"UF Health Central Florida","FL","Healthcare Provider","700981","07/30/2021","Hacking/IT Incident","Network Server","No",""
"Renaissance Life & Health Insurance Company of America","IN","Health Plan","4727","07/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Woods Super Markets, Inc.","MO","Healthcare Provider","785","07/30/2021","Hacking/IT Incident","Other","Yes",""
"Catholic Health System","NY","Healthcare Provider","6538","07/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Catholic Health System","NY","Healthcare Provider","10464","07/30/2021","Hacking/IT Incident","Network Server","Yes",""
"UnitedHealth Group Single Affiliated Covered Entity","MN","Health Plan","774","07/30/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Eau Claire Cooperative Health, Inc. DBA Cooperative Health","SC","Healthcare Provider","3755","07/29/2021","Hacking/IT Incident","Other","Yes",""
"K&B Surgical Center LLC","CA","Healthcare Provider","18444","07/28/2021","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"A2Z Diagnostics, LLC","NJ","Healthcare Provider","35587","07/28/2021","Hacking/IT Incident","Email","No",""
"Benefis Hospitals Inc","MT","Healthcare Provider","500","07/27/2021","Hacking/IT Incident","Email","No",""
"Harris County","TX","Healthcare Provider","26000","07/27/2021","Unauthorized Access/Disclosure","Other","No",""
"siParadigm, LLC","NJ","Healthcare Provider","1654","07/26/2021","Unauthorized Access/Disclosure","Network Server","No",""
"NCH Corporation","TX","Health Plan","11427","07/24/2021","Hacking/IT Incident","Network Server","No",""
"Yale New Haven Health Services Corporation (""YNHHS"")","CT","Healthcare Provider","14603","07/23/2021","Hacking/IT Incident","Network Server","Yes",""
"Mobile County Commission ","AL","Business Associate","1337","07/23/2021","Hacking/IT Incident","Network Server","Yes",""
"Medi-Lynx Cardiac Monitoring","TX","Healthcare Provider","1841","07/23/2021","Hacking/IT Incident","Network Server","No",""
"Electrical Workers Local 369","KY","Health Plan","662","07/23/2021","Hacking/IT Incident","Email","No",""
"Ascension Via Christi ACE","KS","Healthcare Provider","1977","07/23/2021","Hacking/IT Incident","Email","Yes",""
"West Holt Memorial Hospital","NE","Healthcare Provider","541","07/22/2021","Hacking/IT Incident","Email","No",""
"Thomas Jefferson University Hospital","PA","Business Associate","1346","07/22/2021","Hacking/IT Incident","Network Server","Yes",""
"North Oklahoma County Mental Health Center d/b/a NorthCare","OK","Healthcare Provider","500","07/21/2021","Hacking/IT Incident","Network Server","No",""
"Academic HealthPlans, Inc.","TX","Business Associate","2330","07/21/2021","Hacking/IT Incident","Email","Yes",""
"Prestera Center","WV","Healthcare Provider","2152","07/20/2021","Hacking/IT Incident","Email","No",""
"Standard Modern Company, Inc. ","MA","Business Associate","2707","07/20/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Texas Health Presbyterian Hospital Flower Mound","TX","Healthcare Provider","781","07/20/2021","Unauthorized Access/Disclosure","Email","No",""
"Orlando Family Physicians, LLC","FL","Healthcare Provider","447426","07/20/2021","Hacking/IT Incident","Email","No",""
"UNC Hospitals","NC","Healthcare Provider","8114","07/19/2021","Hacking/IT Incident","Email","No",""
"Southwest Nebraska Public Health Department","NE","Healthcare Provider","13500","07/19/2021","Unauthorized Access/Disclosure","Desktop Computer","No",""
"The University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider","2718","07/19/2021","Hacking/IT Incident","Email","No",""
"The Cancer Center of Greenwood Leflore Hospital","MS","Healthcare Provider","2700","07/19/2021","Hacking/IT Incident","Network Server","Yes",""
"Dynamic Health Care, Inc. ","IL","Business Associate","947","07/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Intermountain Healthcare","UT","Healthcare Provider","28628","07/16/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Adena Fayette Medical Center","OH","Healthcare Provider","1389","07/16/2021","Hacking/IT Incident","Email","No",""
"McLaren Health Care Corporation","MI","Healthcare Provider","64600","07/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Sierra Nevada Primary Care Physicians","CA","Healthcare Provider","1717","07/16/2021","Theft","Paper/Films","No",""
"Advocate Aurora Health ","WI","Healthcare Provider","68707","07/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Guidehouse","VA","Business Associate","84220","07/15/2021","Hacking/IT Incident","Other","Yes",""
"City of Lincoln Aging Partners","NE","Business Associate","1513","07/14/2021","Hacking/IT Incident","Email","Yes",""
"Synergic Healthcare Solutions, Inc. dba TGH Urgent Care powered by Fast Track","FL","Business Associate","558","07/14/2021","Theft","Other","Yes",""
"Aetna ACE","CT","Health Plan","8664","07/14/2021","Hacking/IT Incident","Email","No",""
"Nystrom & Associates","MN","Healthcare Provider","985","07/13/2021","Hacking/IT Incident","Email","No",""
"On Lok Senior Health Services","CA","Health Plan","1700","07/13/2021","Hacking/IT Incident","Network Server","No",""
"The George Washington University Medical Faculty Associates ","DC","Healthcare Provider","576","07/13/2021","Unauthorized Access/Disclosure","Email","No",""
"King County Public Hospital District No. 2 d/b/a EvergreenHealth","WA","Healthcare Provider","22579","07/13/2021","Hacking/IT Incident","Network Server","Yes",""
"Bakersfield Hematology Oncology Inc.","CA","Healthcare Provider","1286","07/12/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Oklahoma Heart Hospital, LLC","OK","Healthcare Provider","1038","07/12/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"CSI Financial Services, LLC (""ClearBalance"")","CA","Business Associate","5156","07/10/2021","Hacking/IT Incident","Email","Yes",""
"Starling Physicians ","CT","Healthcare Provider","2808","07/09/2021","Hacking/IT Incident","Email","No",""
"Saint Peter's University Hospital","NJ","Healthcare Provider","585","07/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Oscar Insurance Company of Florida","FL","Health Plan","516","07/08/2021","Hacking/IT Incident","Other","No",""
"CNA Financial Corporation","IL","Health Plan","5095","07/08/2021","Hacking/IT Incident","Laptop, Network Server","No",""
"Osborn Cancer Care","WA","Healthcare Provider","4614","07/08/2021","Hacking/IT Incident","Network Server","Yes",""
"Forefront Dermatology, S.C. ","WI","Healthcare Provider","2413553","07/08/2021","Hacking/IT Incident","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","705","07/08/2021","Hacking/IT Incident","Network Server","No",""
"Florida Heart Associates","FL","Healthcare Provider","45148","07/07/2021","Hacking/IT Incident","Network Server","No",""
"Triangle Women's Center","NC","Healthcare Provider","978","07/07/2021","Unauthorized Access/Disclosure","Email","No",""
"Hope Medical LLC","GA","Healthcare Provider","500","07/07/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"HealthReach Community Health Centers","ME","Healthcare Provider","122340","07/06/2021","Improper Disposal","Electronic Medical Record","No",""
"Hot Springs Health Program","NC","Healthcare Provider","1984","07/06/2021","Unauthorized Access/Disclosure","Email","No",""
"Coastal Family Health Center, Inc","MS","Healthcare Provider","62342","07/02/2021","Hacking/IT Incident","Network Server","No",""
"University of Maryland, Baltimore ","MD","Business Associate","30468","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Cook County Health","IL","Health Plan","898","07/02/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"CentraCare Health System","MN","Healthcare Provider","842","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"St. Vincent's Services, Inc. D/B/A HeartShare St. Vincent's Services","NY","Healthcare Provider","1927","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"HeartShare Wellness, LTD","NY","Healthcare Provider","586","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (“Practicefirst”)","NY","Business Associate","1210688","07/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Wayne County Hospital","IA","Healthcare Provider","2016","07/01/2021","Hacking/IT Incident","Email","No",""
"Florida Blue ","FL","Health Plan","30063","07/01/2021","Hacking/IT Incident","Network Server","No",""
"PracticeMax, Inc.","AZ","Business Associate","500","06/30/2021","Hacking/IT Incident","Network Server","Yes",""
"NYC Health + Hospitals","NY","Healthcare Provider","43727","06/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Francisco J. Pabalan MD, INC","CA","Healthcare Provider","50000","06/30/2021","Hacking/IT Incident","Network Server","No",""
"Dermatology Group of Arkansas, PA","AR","Healthcare Provider","1579","06/29/2021","Hacking/IT Incident","Email","No",""
"Peoples Community Health Clinic","IA","Healthcare Provider","40084","06/29/2021","Hacking/IT Incident","Email","No",""
"Penn Foundation","PA","Healthcare Provider","768","06/29/2021","Hacking/IT Incident","Network Server","No",""
"Ankle and Foot Physicians and Surgeons PLLC","WA","Healthcare Provider","5244","06/28/2021","Hacking/IT Incident","Network Server","No",""
"Dental Center of Westport Group LLC","CT","Healthcare Provider","2175","06/28/2021","Hacking/IT Incident","Email","No",""
"Fairbanks Cancer Care Physicians, P.C.","AK","Healthcare Provider","2426","06/28/2021","Hacking/IT Incident","Network Server","Yes",""
"The Recovery Project, LLC","MI","Healthcare Provider","1103","06/28/2021","Hacking/IT Incident","Email","No",""
"CVS Caremark","RI","Business Associate","3064","06/28/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Carle Cancer Institute Normal","IL","Healthcare Provider","8066","06/25/2021","Hacking/IT Incident","Network Server","Yes",""
"Physicians Dialysis ","FL","Healthcare Provider","2533","06/25/2021","Hacking/IT Incident","Network Server","No",""
"Northwestern Memorial HealthCare","IL","Healthcare Provider","201197","06/25/2021","Hacking/IT Incident","Network Server","Yes",""
"Smile Brands, Inc.","CA","Business Associate","1200","06/24/2021","Hacking/IT Incident","Network Server","Yes",""
"John Muir Physician Network","CA","Healthcare Provider","1081","06/24/2021","Unauthorized Access/Disclosure","Email","No",""
"MultiPlan","NY","Business Associate","214956","06/24/2021","Hacking/IT Incident","Email","Yes",""
"Aultman Health Foundation","OH","Healthcare Provider","7354","06/24/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Mississippi Center for Advanced Medicine, PC","MS","Healthcare Provider","9664","06/23/2021","Hacking/IT Incident","Network Server","No",""
"Abode Services","CA","Healthcare Provider","1172","06/22/2021","Hacking/IT Incident","Email","No",""
"Tiburcio Vasquez Health Center Inc.","CA","Healthcare Provider","2042","06/22/2021","Hacking/IT Incident","Network Server","Yes",""
"United Neighborhood Health Services d/b/a Neighborhood Health","TN","Healthcare Provider","1519","06/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Hawaii Independent Physicians Association","HI","Business Associate","18770","06/22/2021","Hacking/IT Incident","Email","Yes",""
"Renown Health","NV","Healthcare Provider","65181","06/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Jawonio","NY","Healthcare Provider","13313","06/21/2021","Unauthorized Access/Disclosure","Email","No",""
"Hosparus, Inc. dba Care Guide Partners Inc.","KY","Healthcare Provider","1545","06/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Eye Consultants of Atlanta / Piedmont System Ambulatory Surgery Center, LLC","GA","Healthcare Provider","2662","06/19/2021","Improper Disposal","Paper/Films","No",""
"Springfield Psychological","PA","Healthcare Provider","948","06/18/2021","Unauthorized Access/Disclosure","Email","No",""
"Charles E. Jones DDS PC, DBA Jones Family Dental","OR","Healthcare Provider","6493","06/18/2021","Hacking/IT Incident","Network Server","No",""
"University of Wisconsin Hospitals and Clinics Authority","WI","Healthcare Provider","4318","06/18/2021","Hacking/IT Incident","Network Server","No",""
"Walmart Inc.","AR","Healthcare Provider","14532","06/18/2021","Loss","Paper/Films","No",""
"JFK Medical Associates, PA d/b/a Coastal Medical Group","NJ","Healthcare Provider","1304","06/18/2021","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Prominence Health Plan	","NV","Health Plan","45000","06/18/2021","Hacking/IT Incident","Other","No",""
"Singing River Health System","MS","Healthcare Provider","4658","06/17/2021","Hacking/IT Incident","Network Server","Yes",""
"Little Hill Foundation for the Rehabilitation of Alcoholics, Inc. d/b/a Alina Lodge","NJ","Healthcare Provider","2565","06/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Reproductive Biology Associates, LLC and its affiliate My Egg Bank, LLC","GA","Healthcare Provider","38000","06/15/2021","Hacking/IT Incident","Network Server","No",""
"Health Care Service Corp","IL","Health Plan","543","06/15/2021","Hacking/IT Incident","Network Server","Yes",""
"Golden Care Pharmacy LLC","NJ","Healthcare Provider","5530","06/14/2021","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"St. Charles Health System, Inc.","OR","Healthcare Provider","4687","06/14/2021","Hacking/IT Incident","Network Server","Yes",""
"Centura Health","CO","Healthcare Provider","738","06/12/2021","Hacking/IT Incident","Email","No",""
"Care Inns of Texas, Ltd","TX","Business Associate","550","06/11/2021","Hacking/IT Incident","Email","Yes",""
"Illinois Attorney General's Office","IL","Business Associate","501","06/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Cancer Care Center","TN","Healthcare Provider","18000","06/09/2021","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Epic Care","CA","Healthcare Provider","9000","06/09/2021","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Falcon Group International Corp","NY","Healthcare Provider","1900","06/09/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Minnesota Community Care","MN","Healthcare Provider","64855","06/08/2021","Hacking/IT Incident","Network Server","Yes",""
"UC San Diego Health","CA","Healthcare Provider","333000","06/08/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Providence Health Plan","OR","Health Plan","5509","06/07/2021","Unauthorized Access/Disclosure","Email","No",""
"South Texas Health System","TX","Healthcare Provider","6761","06/07/2021","Unauthorized Access/Disclosure","Email","No",""
"PA Health & Wellness, Inc.","PA","Health Plan","1325","06/07/2021","Hacking/IT Incident","Network Server","Yes",""
"UofL Health, Inc.","KY","Healthcare Provider","42465","06/07/2021","Unauthorized Access/Disclosure","Email","No",""
"Glacier Medical Associates","MT","Healthcare Provider","3007","06/07/2021","Hacking/IT Incident","Network Server","No",""
"Discovery Practice Management, Inc.","CA","Business Associate","13611","06/05/2021","Hacking/IT Incident","Email","Yes",""
"UW Medicine","WA","Healthcare Provider","18389","06/04/2021","Hacking/IT Incident","Network Server","Yes",""
"San Juan Regional Medical Center","NM","Healthcare Provider","68792","06/04/2021","Hacking/IT Incident","Network Server","No",""
"Wisconsin Department of Health Services","WI","Health Plan","2868","06/04/2021","Hacking/IT Incident","Email","No",""
"East Jordan Family Health Center","MI","Healthcare Provider","1151","06/04/2021","Hacking/IT Incident","Network Server","Yes",""
"Steward Medical Group","MA","Healthcare Provider","640","06/04/2021","Hacking/IT Incident","Email","No",""
"AtriCure, Inc. Group Health Plan","OH","Health Plan","2487","06/04/2021","Hacking/IT Incident","Email","No",""
"Pediatrix Cardiology of Washington, P.C. d/b/a NorthWest Congenital Heart Care","WA","Healthcare Provider","1166","06/04/2021","Theft","Other Portable Electronic Device","No",""
"Cancer Centers of Southwest Oklahoma, LLC","OK","Healthcare Provider","8000","06/04/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Absolute Total Care","SC","Health Plan","1286","06/04/2021","Hacking/IT Incident","Network Server","Yes",""
"Turning Point Clinic","MD","Healthcare Provider","700","06/03/2021","Hacking/IT Incident","Network Server","No",""
"Moses Lake Community Health Center","WA","Healthcare Provider","1190","06/02/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Temple University Hospital, Inc. ","PA","Healthcare Provider","16356","06/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Spire Power Solutions, L.P.","GA","Health Plan","800","06/02/2021","Hacking/IT Incident","Email","Yes",""
"Hill Country Community Clinic dba Hill Country Health and Wellness Center","CA","Healthcare Provider","2658","06/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Tri-County Family Medicine","NY","Healthcare Provider","1438","06/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Scripps Health","CA","Healthcare Provider","147267","06/01/2021","Hacking/IT Incident","Network Server","No",""
"Superior HealthPlan","TX","Health Plan","2781","06/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Jones Memorial Hospital","NY","Healthcare Provider","8962","06/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Wirt County Health Services Association d/b/a Coplin Health Systems","WV","Healthcare Provider","2164","05/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Hoboken Radiology LLC","NJ","Healthcare Provider","80000","05/28/2021","Hacking/IT Incident","Network Server","No",""
"Monroe County Health Center ","WV","Healthcare Provider","500","05/28/2021","Hacking/IT Incident","Network Server","Yes",""
"Williamson Health and Wellness Center, Inc.","WV","Healthcare Provider","1688","05/28/2021","Hacking/IT Incident","Network Server","Yes",""
"Familycare, Inc.","WV","Healthcare Provider","9584","05/28/2021","Hacking/IT Incident","Network Server","Yes",""
"Five Rivers Health Centers","OH","Healthcare Provider","155748","05/28/2021","Hacking/IT Incident","Email","No",""
"Lafourche Medical Group","LA","Healthcare Provider","34862","05/28/2021","Hacking/IT Incident","Email","No",""
"Sturdy Memorial Hospital","MA","Healthcare Provider","57379","05/28/2021","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","6498","05/28/2021","Improper Disposal","Paper/Films","No",""
"Stanford University School of Medicine","CA","Healthcare Provider","2200","05/28/2021","Hacking/IT Incident","Network Server","No",""
"SEIU 775 Benefits Group","WA","Business Associate","140000","05/27/2021","Hacking/IT Incident","Network Server","Yes",""
"Arkansas Health and Wellness Health Plan","AR","Health Plan","3627","05/27/2021","Hacking/IT Incident","Network Server","Yes",""
"State of TN Finance & Administration","TN","Health Plan","947","05/27/2021","Unauthorized Access/Disclosure","Email","No",""
"Adirondack Medical Center d/b/a Adirondack Health","NY","Healthcare Provider","877","05/27/2021","Hacking/IT Incident","Network Server","Yes",""
"Dean Health Servicing Company","WI","Business Associate","1025","05/26/2021","Hacking/IT Incident","Email","Yes",""
"Aetna ACE","CT","Health Plan","562","05/26/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"LogicGate","IL","Business Associate","47035","05/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Buckeye Health Plan","OH","Health Plan","2334","05/26/2021","Hacking/IT Incident","Network Server","Yes",""
"TidalHealth Peninsula Regional","MD","Healthcare Provider","4070","05/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Penobscot Community Health Center, Inc.","ME","Healthcare Provider","2798","05/26/2021","Hacking/IT Incident","Other","Yes",""
"Center for Human Development ","MA","Healthcare Provider","5000","05/25/2021","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Rogue Community Health","OR","Healthcare Provider","847","05/25/2021","Hacking/IT Incident","Network Server","Yes",""
"20/20 Eye Care Network, Inc","FL","Business Associate","3253822","05/24/2021","Hacking/IT Incident","Other","Yes",""
"Washoe Barton Medical Clinic d/b/a Carson Valley Medical Center","NV","Healthcare Provider","1115","05/24/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Harper County Community Hospital","OK","Healthcare Provider","5725","05/24/2021","Hacking/IT Incident","Network Server","No",""
"Aspen Dental Management LLC","NY","Business Associate","9620","05/21/2021","Theft","Laptop","Yes",""
"Westwood Obstetrics and Gynecology (“Westwood”)","IL","Healthcare Provider","12931","05/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Beech Acres Parenting Center","OH","Healthcare Provider","500","05/21/2021","Hacking/IT Incident","Email","No",""
"Massena Hospital","NY","Healthcare Provider","1897","05/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Swedish Covenant Health DBA Swedish Hospital ","IL","Healthcare Provider","4206","05/20/2021","Hacking/IT Incident","Email","No",""
"Rehoboth McKinley Christian Health Care Services","NM","Healthcare Provider","207195","05/19/2021","Hacking/IT Incident","Network Server","No",""
"Southwestern Indiana Regional Council on Aging","IN","Healthcare Provider","4250","05/19/2021","Hacking/IT Incident","Email","No",""
"Community Health Choice Inc.","TX","Health Plan","2489","05/19/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Bayhealth Medical Center, Inc.","DE","Healthcare Provider","565","05/18/2021","Hacking/IT Incident","Network Server","Yes",""
"San Diego Family Care","CA","Healthcare Provider","125500","05/18/2021","Hacking/IT Incident","Network Server","Yes",""
"Good Health Medical dba MY DR NOW","AZ","Healthcare Provider","36781","05/17/2021","Hacking/IT Incident","Network Server","No",""
"The Miriam Hospital","RI","Healthcare Provider","2999","05/17/2021","Unauthorized Access/Disclosure","Email","No",""
"CareSouth Carolina, Inc.","SC","Healthcare Provider","76035","05/14/2021","Hacking/IT Incident","Network Server","Yes",""
"Community Access Unlimited","NJ","Business Associate","13813","05/13/2021","Hacking/IT Incident","Network Server","Yes",""
"InVue Security Products, Inc. Employee Group Health Plan","NC","Health Plan","1062","05/12/2021","Hacking/IT Incident","Network Server","No",""
"New England Dermatology, P.C.","MA","Healthcare Provider","58106","05/11/2021","Improper Disposal","Paper/Films","No",""
"Master Equity Texas Limited Partnership","TX","Healthcare Clearing House","1962","05/11/2021","Unauthorized Access/Disclosure","Email","No",""
"Internal Medicine Associates of Jasper, PC, dba Prestige Medical Group ","GA","Healthcare Provider","34203","05/10/2021","Hacking/IT Incident","Network Server","No",""
"SAC Health Systems","CA","Healthcare Provider","28128","05/10/2021","Hacking/IT Incident","Network Server","Yes",""
"UnitedHealth Group Health Plan SACE","MN","Health Plan","666","05/10/2021","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Shands Teaching Hospitals and Clinics, Inc.","FL","Healthcare Provider","1562","05/07/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Exceltox Laboratories","CA","Healthcare Provider","4571","05/07/2021","Loss","Paper/Films","No",""
"Nocona General Hospital","TX","Healthcare Provider","3254","05/07/2021","Hacking/IT Incident","Network Server","No",""
"Charles Cole Memorial Hospital, d/b/a UPMC Cole","PA","Healthcare Provider","7376","05/07/2021","Hacking/IT Incident","Network Server","Yes",""
"Our Lady of Lourdes Memorial Hospital Inc.,","NY","Healthcare Provider","1745","05/07/2021","Hacking/IT Incident","Network Server","Yes",""
"St. Agnes Healthcare Inc.","MD","Healthcare Provider","2821","05/07/2021","Hacking/IT Incident","Network Server","Yes",""
"Serendipity Hearing Inc.","CA","Healthcare Provider","3100","05/06/2021","Theft","Desktop Computer","No",""
"Brownsville Community Health Center dba New Horizon Medical Center","TX","Healthcare Provider","4258","05/06/2021","Hacking/IT Incident","Network Server","Yes",""
"Tyler Family Circle of Care","TX","Healthcare Provider","1860","05/06/2021","Hacking/IT Incident","Network Server","Yes",""
"Implant and Prosthodontic Associates","OK","Healthcare Provider","6134","05/06/2021","Theft","Other Portable Electronic Device","No",""
"SummaCare","OH","Health Plan","5532","05/06/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"NEC Networks, LLC d/b/a CaptureRx","TX","Business Associate","1656569","05/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Orthopedic Associates of Dutchess County ","NY","Healthcare Provider","331376","05/04/2021","Hacking/IT Incident","Network Server","No",""
"Monadnock Community Hospital","NH","Healthcare Provider","14340","05/04/2021","Hacking/IT Incident","Network Server","Yes",""
